"Not Reporting Certified - Amite County Sheriff's Office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Attala County","444","77","","","","1","2","2","","","2","","","11","53","8","","","186","3","","26","4","31","5","","10","4","","","","","","1","","","35","2","","9","","43","13","","181","110","45","1","","","","1","","","","24","","","16","","11","1","4"
"Attala County Sheriff's Office","109","24","","","","1","2","2","","","1","","","6","9","5","","","49","1","","","","5","2","","5","1","","","","","","","","","1","2","","9","","13","10","","36","25","4","","","","","1","","","","6","","","9","","6","","3"
"Kosciusko Police Department","335","53","","","","","","","","","1","","","5","44","3","","","137","2","","26","4","26","3","","5","3","","","","","","1","","","34","","","","","30","3","","145","85","41","1","","","","","","","","18","","","7","","5","1","1"
"Benton County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Ashland Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Benton County Sheriff's Office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Snow Lake Shores Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivar County","673","233","1","","","1","3","2","1","","2","","","33","192","1","","","410","2","","26","1","140","3","1","12","1","","","1","7","","4","","","52","1","","33","","88","37","1","30","15","","","","","","","","","","14","1","","43","1","33","4","5"
"Boyle Police Department","9","1","1","","","","","","","","","","","","","","","","8","","","3","","2","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","1","1","","",""
"Cleveland Police Department","515","196","","","","1","1","1","","","2","","","23","169","","","","291","1","","8","1","80","3","","9","","","","","5","","2","","","51","","","31","","82","18","","28","14","","","","","","","","","","13","1","","28","","23","2","3"
"Not Reporting - Delta State University Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Merigold Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Mound Bayou Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Rosedale Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Shaw Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Shelby Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting Certified - Bolivar County Sheriff's Office","149","36","","","","","2","1","1","","","","","10","23","1","","","111","1","","15","","58","","1","3","1","","","1","2","","2","","","","1","","2","","5","19","","2","1","","","","","","","","","","1","","","14","","10","2","2"
"Calhoun County","122","39","2","","","2","3","3","","","3","","1","10","15","3","","","42","","","13","","3","","1","3","2","1","","","","","","","","7","3","","","","6","3","","41","25","7","","","","","2","","","","7","","","18","2","10","","6"
"Bruce Police Department","63","20","","","","1","2","2","","","2","","","2","13","","","","18","","","5","","1","","","1","1","","","","","","","","","7","","","","","3","","","25","17","7","","","","","","","","","1","","","6","","2","","4"
"Calhoun County Sheriff's Office","44","14","2","","","1","","","","","1","","1","7","1","1","","","15","","","6","","","","1","2","1","","","","","","","","","","1","","","","1","3","","15","8","","","","","","2","","","","5","","","10","2","7","","1"
"Not Reporting Certified - Calhoun City Police Department","9","1","","","","","1","1","","","","","","","","","","","7","","","2","","2","","","","","1","","","","","","","","","","","","","2","","","1","","","","","","","","","","","1","","","1","","","","1"
"Not Reporting Certified - Derma Police Deparment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vardaman Police Department","6","4","","","","","","","","","","","","1","1","2","","","2","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","1","","1","",""
"Carroll County","153","38","","","","","","","","","2","","","6","29","1","","","47","","","4","1","20","","","1","1","1","","","","","","","","","","","1","1","14","2","1","68","47","15","","","","","","","","","6","","","8","","6","","2"
"Carroll County Sheriff's Office","153","38","","","","","","","","","2","","","6","29","1","","","47","","","4","1","20","","","1","1","1","","","","","","","","","","","1","1","14","2","1","68","47","15","","","","","","","","","6","","","8","","6","","2"
"Not Reporting - Mississippi Bureau of Narcotics - Greenwood District","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Vaiden Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chickasaw County","26","3","","","","","1","1","","","","","","2","","","","","9","1","","2","","","","","1","","","","","1","","","","","1","","","","","2","1","","14","11","3","","","","","","","","","","","","3","","2","","1"
"Chickasaw County Sheriff's Office","26","3","","","","","1","1","","","","","","2","","","","","9","1","","2","","","","","1","","","","","1","","","","","1","","","","","2","1","","14","11","3","","","","","","","","","","","","3","","2","","1"
"Not Reporting - Houston Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Okolona Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Choctaw County","44","19","","","","","1","1","","","1","","","2","15","","","","23","","","2","","1","1","","","","","","","","","","","","4","1","","","","8","5","1","2","1","","","","","","","","","","1","","","4","","2","","2"
"Ackerman Police Department","11","3","","","","","","","","","","","","","3","","","","8","","","","","","1","","","","","","","","","","","","4","1","","","","1","1","","","","","","","","","","","","","","","","","","","",""
"Choctaw County Sheriff's Office","33","16","","","","","1","1","","","1","","","2","12","","","","15","","","2","","1","","","","","","","","","","","","","","","","","","7","4","1","2","1","","","","","","","","","","1","","","4","","2","","2"
"Not Reporting - Coahoma Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Weir Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Claiborne County","189","102","2","","","","2","2","","","1","","3","34","36","24","","","73","","","9","3","11","1","","4","2","","","","","","","","","10","1","","3","","18","11","","14","2","","","","","","","","","","12","","","39","2","34","","3"
"Claiborne County Sheriff's Office","77","54","","","","","2","2","","","1","","3","27","15","6","","","18","","","2","1","1","","","","","","","","","","","","","","","","1","","3","10","","5","1","","","","","","","","","","4","","","30","","27","","3"
"Port Gibson Police Department","112","48","2","","","","","","","","","","","7","21","18","","","55","","","7","2","10","1","","4","2","","","","","","","","","10","1","","2","","15","1","","9","1","","","","","","","","","","8","","","9","2","7","",""
"Clarke County","50","26","","","","1","","","","","","","","","25","","","","16","","","1","","2","","","","","","","","1","","","","","11","1","","","","","","","8","4","1","","","","","","","","","3","","","","","","",""
"Not Reporting - Clarke County Sheriff's Office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Enterprise Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Shubuta Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Stonewall Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Quitman Police Department","50","26","","","","1","","","","","","","","","25","","","","16","","","1","","2","","","","","","","","1","","","","","11","1","","","","","","","8","4","1","","","","","","","","","3","","","","","","",""
"Clay County","633","232","1","","","5","4","4","","","2","","1","33","118","68","","","305","","","58","2","62","7","","5","15","","","5","6","","5","","","34","5","","16","1","66","15","3","96","60","22","","","","","","","","","13","1","","45","1","33","5","6"
"*Not Reporting* Mississippi Bureau of Narcotics - Starkville District","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East MS CC Police Department - West Point","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting Certified - Clay County Sheriff's Office","60","20","1","","","","","","","","","","","7","12","","","","21","","","7","","4","","","","1","","","","","","","","","1","","","2","","1","2","3","19","13","6","","","","","","","","","","","","8","1","7","",""
"West Point Police Department","573","212","","","","5","4","4","","","2","","1","26","106","68","","","284","","","51","2","58","7","","5","14","","","5","6","","5","","","33","5","","14","1","65","13","","77","47","16","","","","","","","","","13","1","","37","","26","5","6"
"Coahoma County","1,268","606","5","","","2","5","5","","","","","3","111","414","66","","","610","8","1","122","15","179","12","","26","5","7","","3","1","","4","","","44","2","","1","","147","30","3","52","31","6","","","","","","","","","15","","","125","5","111","4","5"
"Clarksdale Police Department","1,170","565","5","","","2","5","5","","","","","3","103","389","58","","","586","6","1","121","14","170","12","","26","5","7","","3","","","4","","","44","2","","1","","138","30","2","19","13","","","","","","","","","","6","","","117","5","103","4","5"
"Coahoma County Sheriff's Office","98","41","","","","","","","","","","","","8","25","8","","","24","2","","1","1","9","","","","","","","","1","","","","","","","","","","9","","1","33","18","6","","","","","","","","","9","","","8","","8","",""
"Not Reporting - Coahoma CC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Copiah County","650","340","1","","","","2","2","","","1","","1","112","159","64","","","234","1","","40","2","46","1","","1","11","","","","6","","3","","","4","39","","12","","32","30","6","76","35","22","","","","","1","","","","9","9","","119","1","112","3","3"
"Copiah County Sheriff's Office","580","313","1","","","","2","2","","","","","","111","145","54","","","211","1","","38","2","42","1","","","7","","","","6","","3","","","4","38","","7","","26","30","6","56","24","15","","","","","","","","","9","8","","117","1","111","3","2"
"Not Reporting - Copiah Lincoln CC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Crystal Springs Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Hazlehurst Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wesson Police Department","70","27","","","","","","","","","1","","1","1","14","10","","","23","","","2","","4","","","1","4","","","","","","","","","","1","","5","","6","","","20","11","7","","","","","1","","","","","1","","2","","1","","1"
"Covington County","128","49","","","","","","","","","","","","8","39","2","","","57","","","2","","2","3","","7","2","1","","","","","1","","","9","","","1","","24","5","","22","14","5","","","","","","","","","3","","","9","","8","1",""
"Collins Police Department","126","49","","","","","","","","","","","","8","39","2","","","55","","","2","","2","3","","7","2","1","","","","","1","","","8","","","1","","24","4","","22","14","5","","","","","","","","","3","","","9","","8","1",""
"Not Reporting - Mount Olive Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recert - Covington County Sheriff's Office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seminary Police Department","2","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"De Soto County","9,117","2,423","8","","","27","46","40","1","5","23","","5","237","1,778","299","","","3,581","12","","195","77","437","111","22","258","98","116","","2","120","","39","","2","741","98","","237","41","519","261","195","3,113","1,285","1,435","1","","","","56","1","3","","319","13","","353","8","237","39","69"
"Desoto County Sheriff's Office","2,031","551","","","","5","14","13","1","","8","","","32","420","72","","","445","1","","23","6","21","8","6","22","14","94","","","21","","2","","","6","15","","19","4","65","31","87","1,035","373","580","","","","","2","","3","","75","2","","56","","32","2","22"
"Hernando Police Department","761","128","1","","","2","4","4","","","1","","2","14","97","7","","","155","","","7","5","23","4","4","31","5","4","","","11","","1","","","13","","","1","","37","5","4","478","405","43","","","","","2","","","","27","1","","21","1","14","1","5"
"Horn Lake Police Department","1,100","290","3","","","2","","","","","5","","","15","224","41","","","530","4","","58","10","101","14","","","5","","","","","","3","","","152","34","","35","2","75","34","3","280","91","124","","","","","2","","","","63","","","26","3","15","3","5"
"Northwest MS Community College Police-Desoto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting Certified - Southwest MS CC Police Department","10","2","","","","","","","","","","","","","2","","","","5","","","2","","1","","","","","","","","1","","","","","","","","","","","1","","3","2","","","","","","","","","","1","","","","","","",""
"Olive Branch Police Department","1,818","578","2","","","3","14","11","","3","3","","2","57","427","70","","","897","2","","29","26","113","52","9","79","33","16","","2","26","","9","","","144","14","","84","17","134","80","28","343","154","91","","","","","18","","","","77","3","","85","2","57","9","17"
"Recert - Walls Police Department","6","1","","","","","","","","","","","","1","","","","","5","","","","","","","","","","1","","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","1","","1","",""
"Southaven Police Department","3,391","873","2","","","15","14","12","","2","6","","1","118","608","109","","","1,544","5","","76","30","178","33","3","126","41","1","","","61","","24","","2","426","35","","95","17","208","110","73","974","260","597","1","","","","32","1","","","76","7","","164","2","118","24","20"
"Forrest County","4,996","1,582","3","","","2","27","19","","8","11","","","85","1,030","424","","","2,830","7","","209","21","664","22","2","12","86","21","","4","10","","22","","","590","44","2","350","9","602","140","13","584","342","103","","","","","9","","","","127","3","","148","3","85","22","38"
"*DO NOT USE*State Capitol Police - Hattiesburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTED - District 7 - Hattiesburg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","","","","","","","","","","","","","","","",""
"Forrest County Sheriff's Office","598","167","2","","","","10","7","","3","7","","","7","103","38","","","337","1","","45","2","61","5","1","2","11","11","","1","5","","1","","","37","4","","16","3","99","22","10","94","65","11","","","","","4","","","","14","","","27","2","7","1","17"
"Forrest General Hospital Campus Police","22","11","","","","","","","","","","","","1","10","","","","7","","","1","","2","","","","","1","","","","","","","","1","","","1","","1","","","4","1","2","","","","","1","","","","","","","1","","1","",""
"Hattiesburg Police Department","3,970","1,355","","","","2","17","12","","5","3","","","71","885","377","","","2,317","3","","126","19","589","17","1","8","67","9","","3","5","","21","","","545","25","2","317","6","446","106","2","298","156","39","","","","","4","","","","99","","","112","","71","21","20"
"MBI Troop J District 7","4","4","1","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","1","2","",""
"MHP Troop J Hattiesburg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","25","12","","","","","","","","","2","","","","","","",""
"Not Reporting - Forrest County School District","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting Certified - Pearl River Community College Police-Forrest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Petal Police Department","198","30","","","","","","","","","1","","","3","26","","","","70","3","","33","","4","","","1","6","","","","","","","","","7","","","","","11","4","1","98","68","19","","","","","","","","","8","3","","4","","3","","1"
"State Capitol Police - Hattiesburg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The University of Southern Mississippi Police Department","163","15","","","","","","","","","","","","1","5","9","","","99","","","4","","8","","","1","2","","","","","","","","","","15","","16","","45","8","","49","26","19","","","","","","","","","4","","","1","","1","",""
"Franklin County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Bude Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Franklin County Sheriff's Office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - McCall Creek  Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Meadville Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Roxie Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"George County","1,122","502","","2","","1","14","13","1","","16","","3","66","220","180","","","474","2","","59","16","125","3","2","23","9","19","2","3","7","","4","","1","18","8","","12","4","122","29","6","146","71","44","","","","","2","","","","19","10","","100","","66","4","30"
"George County School District Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"George County Sheriff's Office","838","399","","2","","1","14","13","1","","14","","3","55","169","141","","","358","2","","55","6","103","","2","11","8","18","1","3","5","","3","","","6","1","","5","3","100","20","6","81","46","19","","","","","2","","","","10","4","","86","","55","3","28"
"Mississippi Gulf Coast CC- DO NOT USE THIS ORI - George County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Mississippi Gulf Coast CC - George County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recert - Lucedale Police Department","284","103","","","","","","","","","2","","","11","51","39","","","116","","","4","10","22","3","","12","1","1","1","","2","","1","","1","12","7","","7","1","22","9","","65","25","25","","","","","","","","","9","6","","14","","11","1","2"
"Greene County","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Leakesville Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - McLain Police Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting Certified - Greene County Sheriff's Office","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada County","1,015","315","","1","","2","1","1","","","2","","","38","204","67","","","437","1","","51","15","80","64","","27","7","9","","1","7","2","2","1","1","59","12","","4","","62","24","8","263","181","37","","","","","1","","","","32","12","","43","","38","2","3"
"Grenada County Sheriff's Office","567","160","","1","","1","1","1","","","1","","","24","81","51","","","185","1","","41","5","31","5","","16","2","9","","","4","","","","","2","","","","","45","17","7","222","154","26","","","","","1","","","","30","11","","26","","24","","2"
"Holmes Community College - Grenada - DO NOT USE THIS ORI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Not Reporting - Certified Grenada Police Department","445","154","","","","1","","","","","1","","","14","123","15","","","250","","","9","10","49","59","","11","5","","","1","3","2","2","1","","57","12","","4","","17","7","1","41","27","11","","","","","","","","","2","1","","17","","14","2","1"
"Not Reporting - Grenada School District Campus Police","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Recert - Holmes Community College - Grenada Campus","3","1","","","","","","","","","","","","","","1","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hancock County","1,988","631","1","","","2","5","4","1","","16","","","21","468","118","","","856","7","","77","9","174","6","1","37","22","","","9","8","","1","","","27","38","1","57","6","321","51","4","501","333","132","","","","","7","","","","28","1","","44","1","21","1","21"
"Bay Saint Louis Police Department","582","218","1","","","1","3","3","","","7","","","7","154","45","","","315","","","33","5","58","5","1","17","10","","","4","3","","1","","","16","18","1","35","1","85","22","","49","23","15","","","","","5","","","","6","","","19","1","7","1","10"
"Hancock County Sheriff's Office","1,172","357","","","","1","2","1","1","","9","","","11","261","73","","","378","7","","35","4","92","1","","20","11","","","5","5","","","","","10","19","","21","5","110","29","4","437","300","113","","","","","2","","","","21","1","","22","","11","","11"
"Waveland Police Department","234","56","","","","","","","","","","","","3","53","","","","163","","","9","","24","","","","1","","","","","","","","","1","1","","1","","126","","","15","10","4","","","","","","","","","1","","","3","","3","",""
"Harrison County","15,766","4,377","13","","","20","73","67","6","","37","","14","665","2,820","733","1","1","7,644","21","3","460","109","1,292","127","6","364","194","34","2","26","57","","72","3","6","1,597","384","5","757","89","1,506","405","125","3,745","2,434","833","","","","","37","2","","","405","34","","860","13","665","72","110"
"*DO NOT USE*State Capitol Police - Biloxi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*Not Reporting* Mississippi Bureau of Narcotics - Gulfport District","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Biloxi Police Department","4,609","982","4","","","1","36","35","1","","5","","4","101","670","161","","","2,015","3","","60","28","274","62","2","145","75","3","","15","14","","26","","","394","322","2","199","13","272","65","41","1,612","990","432","","","","","6","2","","","172","10","","172","4","101","26","41"
"CTED - District 8 - Biloxi","42","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","41","18","21","","","","","","","","","2","","","","","","",""
"D'Iberville Police Department","1,307","232","1","","","","","","","","3","","1","6","181","40","","","794","2","","17","12","84","8","1","49","15","","","1","8","","3","","","378","","","52","2","131","18","13","281","201","58","","","","","1","","","","21","","","13","1","6","3","3"
"Gulfport Police Department","6,619","2,164","6","","","14","26","25","1","","9","","6","522","1,317","263","","1","3,596","14","1","289","55","686","43","","74","69","28","","9","6","","38","3","6","694","58","3","402","57","792","219","50","859","546","131","","","","","11","","","","149","22","","601","6","522","38","35"
"Harrison County Sheriff's Office","2,487","821","1","","","1","8","4","4","","17","","3","30","523","238","","","930","2","2","81","12","185","9","3","76","25","3","2","","22","","5","","","85","2","","72","15","222","92","15","736","534","131","","","","","17","","","","53","1","","61","1","30","5","25"
"Long Beach Police Department","445","147","","","","4","3","3","","","3","","","5","104","28","","","196","","","9","1","44","4","","13","6","","","","7","","","","","19","","","28","2","51","9","3","102","61","34","","","","","2","","","","4","1","","11","","5","","6"
"MBI Troop K District 8","1","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHP Troop K Biloxi","85","2","","","","","","","","","","","","1","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","2","81","57","20","","","","","","","","","4","","","1","","1","",""
"Mississippi Gulf Coast CC - DO NOT USE THIS ORI - Bryant Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mississippi Gulf Coast CC - DO NOT USE THIS ORI - Harrison","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
